gender,height,weight,,,
0,72,155,,,
0,67,145,,,
0,65,125,,,
1,67,120,,,
1,63,105,,,
1,54,120,,,
1,66,125,,,
1,64,125,,,
0,72,160,,,
0,66,133,,,
0,66,175,,,
0,71,205,,,
0,71,175,,,
1,57,82,,,
1,66,125,,,
1,67,133,,,
0,70,175,,,
0,73,163,,,
1,68,133,,,
0,72,180,,,
1,65,107,,,
1,70,170,,,
1,64,110,,,
1,64,140,,,
1,63,110,,,
1,60,110,,,
1,69,125,,,
1,65,120,,,
1,67,180,,,
0,67,120,,,
0,68,140,,,
0,65,130,,,
1,62,122,,,
1,66,114,,,
1,65,115,,,
1,63,125,,,
0,73,195,,,
0,69,135,,,
0,70,145,,,
0,72,170,,,
0,73,172,,,
0,69,168,,,
0,68,155,,,
0,71,185,,,
0,71,175,,,
0,68,158,,,
0,69,185,,,
0,67,146,,,
0,66,135,,,
0,67,150,,,
0,72,160,,,
0,68,155,,,
0,75,230,,,
0,68,149,,,
0,73,240,,,
0,72,170,,,
0,72,198,,,
0,72,163,,,
0,72,230,,,
0,74,170,,,
0,68,151,,,
0,73,220,,,
0,68,145,,,
0,70,130,,,
0,72,160,,,
0,70,210,,,
0,67,145,,,
0,67,185,,,
0,71,237,,,
0,72,205,,,
0,73,147,,,
0,68,170,,,
0,72,181,,,
0,68,150,,,
0,67,150,,,
0,70,200,,,
0,71,175,,,
0,70,155,,,
0,67,167,,,
1,58,100,,,
1,56,100,,,
